transactionid,date,customerid,gender,productname,category,subcategory,region,quantity,unitprice,costprice,discount,revenue,cost,profit
T04987,06-09-2024,C154,M,Like Camera,Electronics,Camera,South,3,1673.69,1323.38,0.15,4267.9095,3970.14,297.7695
T04980,16-07-2025,C130,M,Like Camera,Electronics,Camera,East,4,1673.69,1323.38,0.15,5690.546,5293.52,397.026
T04949,10-05-2024,C013,M,Like Camera,Electronics,Camera,East,2,1673.69,1323.38,0.15,2845.273,2646.76,198.513
T04890,11-05-2024,C125,M,Like Camera,Electronics,Camera,South,5,1673.69,1323.38,0.15,7113.1825,6616.9,496.2825
T04886,24-12-2024,C098,F,Like Camera,Electronics,Camera,West,4,1673.69,1323.38,0.05,6360.022,5293.52,1066.502
T04841,22-01-2024,C056,F,Like Camera,Electronics,Camera,West,1,1673.69,1323.38,0,1673.69,1323.38,350.31
T04814,21-12-2023,C001,M,Like Camera,Electronics,Camera,East,3,1673.69,1323.38,0.05,4770.0165,3970.14,799.8765
T04797,13-09-2023,C077,F,Like Camera,Electronics,Camera,East,3,1673.69,1323.38,0,5021.07,3970.14,1050.93
T04770,28-07-2024,C140,F,Like Camera,Electronics,Camera,North,4,1673.69,1323.38,0,6694.76,5293.52,1401.24
T04768,10-07-2024,C147,F,Like Camera,Electronics,Camera,East,2,1673.69,1323.38,0,3347.38,2646.76,700.62
T04681,24-01-2025,C077,F,Like Camera,Electronics,Camera,East,1,1673.69,1323.38,0.15,1422.6365,1323.38,99.2565
T04583,11-06-2024,C083,F,Like Camera,Electronics,Camera,South,2,1673.69,1323.38,0,3347.38,2646.76,700.62
T04515,03-06-2025,C082,M,Like Camera,Electronics,Camera,South,2,1673.69,1323.38,0.15,2845.273,2646.76,198.513
T04475,06-02-2025,C190,M,Like Camera,Electronics,Camera,East,1,1673.69,1323.38,0.15,1422.6365,1323.38,99.2565
T04466,15-06-2025,C183,M,Like Camera,Electronics,Camera,South,2,1673.69,1323.38,0,3347.38,2646.76,700.62
T04417,21-08-2024,C191,F,Like Camera,Electronics,Camera,North,3,1673.69,1323.38,0.15,4267.9095,3970.14,297.7695
T04303,01-06-2025,C126,M,Like Camera,Electronics,Camera,South,2,1673.69,1323.38,0.1,3012.642,2646.76,365.882
T04151,03-10-2023,C101,F,Like Camera,Electronics,Camera,West,2,1673.69,1323.38,0.15,2845.273,2646.76,198.513
T04149,03-02-2024,C059,F,Like Camera,Electronics,Camera,East,3,1673.69,1323.38,0,5021.07,3970.14,1050.93
T04119,01-06-2025,C058,M,Like Camera,Electronics,Camera,East,3,1673.69,1323.38,0.15,4267.9095,3970.14,297.7695
T04114,17-04-2025,C090,M,Like Camera,Electronics,Camera,West,4,1673.69,1323.38,0.15,5690.546,5293.52,397.026
T04106,27-03-2025,C151,M,Like Camera,Electronics,Camera,North,3,1673.69,1323.38,0.15,4267.9095,3970.14,297.7695
T04058,05-04-2024,C123,F,Like Camera,Electronics,Camera,East,3,1673.69,1323.38,0.15,4267.9095,3970.14,297.7695
T04049,05-07-2025,C091,M,Like Camera,Electronics,Camera,East,2,1673.69,1323.38,0.05,3180.011,2646.76,533.251
T03942,21-02-2025,C158,M,Like Camera,Electronics,Camera,South,3,1673.69,1323.38,0.1,4518.963,3970.14,548.823
T03890,13-01-2025,C115,M,Like Camera,Electronics,Camera,East,5,1673.69,1323.38,0.05,7950.0275,6616.9,1333.1275
T03841,10-06-2024,C100,F,Like Camera,Electronics,Camera,East,4,1673.69,1323.38,0,6694.76,5293.52,1401.24
T03795,08-01-2025,C019,F,Like Camera,Electronics,Camera,North,3,1673.69,1323.38,0,5021.07,3970.14,1050.93
T03764,01-07-2025,C109,F,Like Camera,Electronics,Camera,East,2,1673.69,1323.38,0.1,3012.642,2646.76,365.882
T03707,08-02-2024,C024,F,Like Camera,Electronics,Camera,South,2,1673.69,1323.38,0.15,2845.273,2646.76,198.513
T03626,13-06-2024,C186,F,Like Camera,Electronics,Camera,West,5,1673.69,1323.38,0.15,7113.1825,6616.9,496.2825
T03619,10-06-2024,C054,F,Like Camera,Electronics,Camera,East,4,1673.69,1323.38,0,6694.76,5293.52,1401.24
T03519,19-04-2025,C158,M,Like Camera,Electronics,Camera,North,3,1673.69,1323.38,0.15,4267.9095,3970.14,297.7695
T03225,08-08-2025,C151,M,Like Camera,Electronics,Camera,South,4,1673.69,1323.38,0.15,5690.546,5293.52,397.026
T03171,28-06-2025,C001,M,Like Camera,Electronics,Camera,South,2,1673.69,1323.38,0,3347.38,2646.76,700.62
T03170,03-10-2024,C107,F,Like Camera,Electronics,Camera,East,4,1673.69,1323.38,0.1,6025.284,5293.52,731.764
T03101,07-06-2025,C170,F,Like Camera,Electronics,Camera,East,1,1673.69,1323.38,0,1673.69,1323.38,350.31
T03095,27-04-2025,C141,F,Like Camera,Electronics,Camera,East,3,1673.69,1323.38,0.15,4267.9095,3970.14,297.7695
T02974,15-10-2023,C083,F,Like Camera,Electronics,Camera,North,4,1673.69,1323.38,0,6694.76,5293.52,1401.24
T02948,23-03-2024,C064,F,Like Camera,Electronics,Camera,East,1,1673.69,1323.38,0.1,1506.321,1323.38,182.941
T02930,19-12-2023,C049,M,Like Camera,Electronics,Camera,North,5,1673.69,1323.38,0.15,7113.1825,6616.9,496.2825
T02816,20-10-2024,C127,F,Like Camera,Electronics,Camera,East,5,1673.69,1323.38,0,8368.45,6616.9,1751.55
T02752,15-12-2024,C029,M,Like Camera,Electronics,Camera,East,5,1673.69,1323.38,0.1,7531.605,6616.9,914.705
T02746,03-10-2024,C200,M,Like Camera,Electronics,Camera,East,4,1673.69,1323.38,0,6694.76,5293.52,1401.24
T02745,30-07-2025,C143,M,Like Camera,Electronics,Camera,East,3,1673.69,1323.38,0.15,4267.9095,3970.14,297.7695
T02682,28-06-2024,C160,M,Like Camera,Electronics,Camera,West,1,1673.69,1323.38,0,1673.69,1323.38,350.31
T02670,17-12-2023,C024,F,Like Camera,Electronics,Camera,East,3,1673.69,1323.38,0.15,4267.9095,3970.14,297.7695
T02580,04-12-2024,C038,M,Like Camera,Electronics,Camera,East,3,1673.69,1323.38,0,5021.07,3970.14,1050.93
T02562,11-12-2023,C191,F,Like Camera,Electronics,Camera,East,4,1673.69,1323.38,0.05,6360.022,5293.52,1066.502
T02531,22-06-2025,C178,F,Like Camera,Electronics,Camera,South,3,1673.69,1323.38,0.15,4267.9095,3970.14,297.7695
T02502,25-02-2024,C088,F,Like Camera,Electronics,Camera,East,1,1673.69,1323.38,0.15,1422.6365,1323.38,99.2565
T02475,24-12-2024,C024,F,Like Camera,Electronics,Camera,East,2,1673.69,1323.38,0.1,3012.642,2646.76,365.882
T02471,26-10-2023,C126,M,Like Camera,Electronics,Camera,West,5,1673.69,1323.38,0.1,7531.605,6616.9,914.705
T02436,07-06-2025,C020,F,Like Camera,Electronics,Camera,South,2,1673.69,1323.38,0.15,2845.273,2646.76,198.513
T02318,10-11-2024,C156,M,Like Camera,Electronics,Camera,East,3,1673.69,1323.38,0.1,4518.963,3970.14,548.823
T02293,02-11-2024,C194,M,Like Camera,Electronics,Camera,South,3,1673.69,1323.38,0.15,4267.9095,3970.14,297.7695
T02287,26-07-2025,C009,F,Like Camera,Electronics,Camera,West,3,1673.69,1323.38,0.15,4267.9095,3970.14,297.7695
T02234,12-01-2024,C018,M,Like Camera,Electronics,Camera,North,4,1673.69,1323.38,0.15,5690.546,5293.52,397.026
T02183,17-08-2024,C191,F,Like Camera,Electronics,Camera,South,2,1673.69,1323.38,0.15,2845.273,2646.76,198.513
